crash_id,intersection_id,int_num,direction,distance,latitude,longitude
565078,6660,128171,West,54,37.3544255694179,-121.843069476649
565085,6539,6401,North,15,37.320332698042,-121.828940892774
565132,9284,92487,At,0,37.3981030404486,-121.912928461083
565098,7227,79584,North,28,37.3241256610038,-121.827621745933
565128,,55384,North,675,,
565103,7281,80508,North,130,37.3367853867245,-121.844070254594
565109,7464,81432,North,15,37.3238760901763,-121.832299946324
565116,6245,78572,South,60,37.2622862181235,-121.830941978389
565125,1509,49180,At,0,37.303850173195,-121.922526683865
565138,8133,119492,At,0,37.353780581098,-121.811391542324
565139,7994,78253,South,166,37.3499467940437,-121.844645551333
565094,3058,56891,North,203,37.3529700554114,-121.881176954225
565092,8795,103663,At,0,37.4036288640142,-121.926323794018
565133,7374,74800,South,38,37.3270474295303,-121.826993786026
